FECHA,AUTOS,MOTOS,AUTOBUS DE 2 EJES,AUTOBUS DE 3 EJES,AUTOBUS DE 4 EJES,CAMIONES DE 2 EJES,CAMIONES DE 3 EJES,CAMIONES DE 4 EJES,CAMIONES DE 5 EJES,CAMIONES DE 6 EJES,CAMIONES DE 7 EJES,CAMIONES DE 8 EJES,CAMIONES DE 9 EJES,TRICICLOS,TOTAL,EJE EXTRA AUTOBUS,EJE EXTRA CAMION,PEATONES
2024-06-01,3449445,191788,94569,25846,132,147120,117442,21958,334236,66593,7484,2232,147638,7863,4614346,30040,1493,698175
2024-07-01,3726686,200357,104770,30747,153,153134,123800,20738,336200,70281,7647,1803,152791,8145,4937252,31713,1389,749727
2024-08-01,3761693,208580,105703,29692,212,153052,124142,21337,342927,68857,7704,1643,148620,8021,4982183,31917,1309,772786
2024-09-01,3317698,203055,91411,52516,216,138426,112750,19214,315212,60219,6973,1588,136922,7520,4463720,27534,1231,739460
2024-10-01,3368721,207313,95785,25515,215,151163,118205,21416,347414,61889,7301,1864,145252,8235,4560288,29358,1316,803506
2024-11-01,3435227,215029,94928,26584,245,148507,113422,20865,349202,59821,7577,1396,146213,8511,4627527,28882,1687,849427
2024-12-01,3896736,227824,110381,32137,206,143652,110616,20179,333512,55720,7558,1118,145513,11495,5096647,39132,3902,897940
2025-01-01,3513589,196924,101337,28436,127,134678,107861,19991,329949,60939,7418,1287,154186,7810,4664532,39093,5025,731922
2025-02-01,3016093,191313,84560,21943,9357,124804,103471,211854,135784,31213,1670,120710,22755,7250,4082777,32126,823558,718559
2025-03-01,3410783,221722,93150,25779,168,140488,115219,21600,349829,63014,7021,1520,158796,8875,4617964,40011,4548,863493
